64,66.97,60
64,130,60
64,195.7,60
64,220,60
64,248.18,91.47
64,250,80
64,254.42,72.5
64,264,65
64,274.74,60
64,270,60
64,260.53,60
64,270,60
64,274.01,60
64,278,60
64,282.76,60
64,287,70
64,292.29,74.25
128,60.58,88.65
128,187.15,60
128,250.41,87.4
128,260.38,91.18
128,267.37,60
128,276.39,60
128,285.38,60
128,293.69,60
128,301.59,60
256,66.44,72.78
256,194.34,89.25
256,250.55,87.4
256,264.22,60
256,272.29,60
256,283.24,60
256,293.78,60
256,301.15,60
256,313.27,60
512,65.55,60
512,186.82,91.22
512,260.26,60
512,271.76,60
512,281.15,93.28
512,293.87,94.32
512,307.76,95.57
512,315.48,60
512,326.58,60
1024,68.03,60
1024,199.77,60
1024,266.91,60
1024,283.46,93.52
1024,299.98,93.08
1024,309,60
1024,323.85,60
1024,339,97.97
1024,345.41,60
64,311.01,71.88
64,349.21,74.78
64,309.55,71.4
64,308.96,70.25
64,346.96,72.35
64,319.04,72.72
64,303.7,69.7
64,337.67,75.72
64,344,74.58
64,347.25,71.27
128,325.68,44.6
128,346.8,46.97
128,346.07,47.98
128,309.62,45.18
128,310.15,45.35
128,319.04,45.89
128,312.71,45.33
128,348.64,48.4
128,347.05,48.11
128,337.31,46.4
256,319.27,31.9
256,321.97,31.98
256,333.11,32.02
256,353.88,32.43
256,325.3,31.42
256,320.12,31.58
256,319.12,31.37
256,328.85,32.05
256,349,33.15
256,354.62,33.23
512,373.27,24.9
512,362.31,24.66
512,362.31,24.7
512,372.62,24.73
512,370.82,24.9
512,359.04,24.88
512,363.39,24.97
512,354.9,24.52
512,359.81,24.45
512,350.91,24.45
1024,394.09,20.83
1024,388.06,20.68
1024,409.24,21.43
1024,424.09,21.92
1024,421.65,21.83
1024,378.47,20.67
1024,411.82,21.2
1024,412.89,21.45
1024,418.72,21.33
1024,416.17,21.67
64,380.16,85.52
64,386.58,85.62
64,421.05,87.63
64,417.7,86.92
64,389.19,84.97
64,416.78,86.33
64,404.32,88.12
64,389.44,87.22
64,412.75,89.03
64,395.86,85.02
128,404.47,61.15
128,401.1,60.56
128,428.38,64.33
128,399.84,59.73
128,407.81,60.7
128,436.95,64.37
128,408.74,60.27
128,397.38,61.36
128,384.93,78.78
128,442.48,63.45
256,441.74,45.1
256,426.57,44.27
256,441.83,44.8
256,434.82,45
256,441.51,44.13
256,438.33,44.9
256,441.27,46.05
256,443,45.82
256,460.85,45.87
256,431.4,45.05
512,539.63,36.62
512,561,37.17
512,527.83,37.68
512,536.06,37.25
512,529.8,37.28
512,522.71,36.15
512,518.9,35.02
512,539.53,35.98
512,537.13,36.4
512,556.79,37.47
1024,716.17,32.62
1024,709.46,32.25
1024,704.57,31.95
1024,678.4,32.02
1024,686.68,31.82
1024,705.93,32.33
1024,701.78,32.65
1024,676.71,32.18
1024,695.9,32.8
1024,695.32,33.58
64,431.23,97.23
64,425.23,95.92
64,423.51,95.93
64,461.58,98.45
64,453.93,97.22
64,433.39,95.43
64,407.64,95.95
64,444.77,99
64,413.63,97.55
64,422.27,95.97
128,522.36,76.15
128,479.84,74.65
128,487,72.38
128,486.81,75.1
128,478.35,75
128,479.06,75.58
128,477.09,75.17
128,493.54,74.45
128,484.45,73.09
128,490.96,73.33
256,546.25,58.03
256,543.39,60.2
256,545.75,57.72
256,557.99,58.67
256,537.75,58.37
256,551,58.02
256,554.36,59.78
256,551.42,60.25
256,555.27,57.35
256,544.86,58.23
512,701.83,47.17
512,696.24,47.53
512,737.48,46.73
512,690.85,47.97
512,692.54,48
512,697.26,47.65
512,712.76,47.05
512,694.83,46.9
