SLO,throughput,,,,,,,,,
319.12,300.09,,,,,,,,,
319.27,300.09,,,,,,,,,100개 중 58건 SLO 충족
346.07,305.18,,,,,,,,,
319.04,305.18,,,,,,,,,
347.05,305.18,,,,,,,,,
347.25,292.6,,,,,,,,,
311.01,292.6,,,,,,,,,
308.96,292.6,,,,,,,,,
346.96,279.31,,,,,,,,,
409.24,360.56,,,,,,,,,
418.72,501.56,,,,,,,,,
421.65,513.87,,,,,,,,,
424.09,513.87,,,,,,,,,
386.58,356.85,,,,,,,,,
426.57,442.55,,,,,,,,,
443,448.06,,,,,,,,,
527.83,485.74,,,,,,,,,
428.38,410.24,,,,,,,,,
408.74,401.31,,,,,,,,,
389.19,362.76,,,,,,,,,
404.32,452.37,,,,,,,,,
694.83,620.8,,,,,,,,,
964.53,746.79,,,,,,,,,
423.51,468.07,,,,,,,,,
996.92,756.33,,,,,,,,,
977.52,719.67,,,,,,,,,
737.48,662.85,,,,,,,,,
487,514.27,,,,,,,,,
546.25,603.12,,,,,,,,,
706.58,664.11,,,,,,,,,
407.64,503.81,,,,,,,,,
375.98,497.47,,,,,,,,,
668.27,681.23,,,,,,,,,
404.72,469.24,,,,,,,,,
679.74,720.33,,,,,,,,,
576.71,665.91,,,,,,,,,
571.39,670.8,,,,,,,,,
896.73,828.48,,,,,,,,,
582.56,709.4,,,,,,,,,
1240,933.65,,,,,,,,,
906.36,845.93,,,,,,,,,
685.02,746.14,,,,,,,,,
1320,951.24,,,,,,,,,
405.91,467.35,,,,,,,,,
591.39,752,,,,,,,,,
633.29,807.79,,,,,,,,,
815.01,902.25,,,,,,,,,
1070,1069.2,,,,,,,,,
1090,1006.06,,,,,,,,,
569.81,756.89,,,,,,,,,
608.72,749.99,,,,,,,,,
1350,1176.01,,,,,,,,,
759.28,1138.28,,,,,,,,,
1870,1502.11,,,,,,,,,
585.29,729.11,,,,,,,,,
866.55,1153.09,,,,,,,,,
359.44,443.08,,,,,,,,,
876.26,1107.31,,,,,,,,,
376.4,432.29,,,,,,,,,
1520,1579.54,,,,,,,,,
363.63,440.53,,,,,,,,,
552.81,734.15,,,,,,,,,
375.23,433.83,,,,,,,,,
369.82,434.82,,,,,,,,,
549.6,729.31,,,,,,,,,
539.81,737.23,,,,,,,,,
376.92,439.76,,,,,,,,,
365.73,441.82,,,,,,,,,
1810,1484.09,,,,,,,,,
1810,1484.09,,,,,,,,,
1790,1454.07,,,,,,,,,
1720,1421.29,,,,,,,,,
1780,1489.18,,,,,,,,,
982.06,1122.32,,,,,,,,,
552.57,728.82,,,,,,,,,
1770,1478.9,,,,,,,,,
369.33,435.32,,,,,,,,,
570.09,711.21,,,,,,,,,
375.68,435.42,,,,,,,,,
366.16,443.17,,,,,,,,,
368.89,442.57,,,,,,,,,
560.68,734.39,,,,,,,,,
566.5,713.51,,,,,,,,,
344.72,433.66,,,,,,,,,
2940,1862.61,,,,,,,,,
2860,1917.77,,,,,,,,,
835.74,1108.86,,,,,,,,,
569.02,733.15,,,,,,,,,
2510,1915.68,,,,,,,,,
1570,1479.14,,,,,,,,,
942.79,1080.24,,,,,,,,,
1370,1519.58,,,,,,,,,
1670,1495.21,,,,,,,,,
961.19,1116.94,,,,,,,,,
936.89,1106.78,,,,,,,,,
549.91,715.83,,,,,,,,,
565.66,720.16,,,,,,,,,
1750,1461.06,,,,,,,,,
937.93,1099.85,,,,,,,,,
2720,1912.37,,,,,,,,,
