20000,20000
30000,30100
100000,80700
20000,20000
100000,80300
60000,60000
50000,50100
70000,70000
30000,29900
1000,1135
100000,80000
30000,29800
30000,30000
10000,11100
10000,9990
20000,20500
80000,78000
9000,7615
90000,80200
100000,99300
20000,20000
50000,41300
5500,6130
5000,8320
9000,9705
8000,43140
10000,9960
60000,63700
8000,9670
40000,40000
10000,9475
40000,39700
20000,20000
80000,74400
70000,70100
10000,10000
60000,60000
90000,90700
90000,77100
80000,81500
50000,52200
50000,49900
60000,59900
50000,49900
7000,5280
1000,1190
70000,64800
60000,60000
30000,30000
60000,60000
30000,30000
80000,73400
10000,10000
20000,20000
10000,13700
40000,40100
40000,39800
90000,80400
30000,30000
80000,80600
60000,59900
40000,39800
4000,4095
100000,82400
50000,50000
20000,20200
60000,60000
60000,59800
100000,91800
60000,53900
40000,40100
70000,70700
20000,20000
50000,49900
100000,99700
1000,1125
80000,72200
60000,60200
30000,29900
70000,75600
2500,4305
20000,20000
80000,75200
70000,70000
8500,7750
60000,63400
30000,30000
3000,3785
70000,71900
50000,53000
50000,50100
90000,93900
90000,91500
70000,61700
80000,79700
20000,17660
60000,63500
10000,10000
2000,1940
30000,30000
40000,40000
60000,60000
80000,80300
